,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore
326,0,0,0,0.0,0.0,0,20481,0,0,0,0,0.0,0,18,3,0.0,0.0,0,Stephen,0.0,0,0,0.0,327,False,0.0,0,0,0,0,0,Broken Leg - Expected back 04 Feb,45,0,0,0,20481.jpg,0.0,0,0,Ireland,0.0,False,7.0,i,14,110,0.0,0,10,10,48,48,0.0,0.0,Ireland,0,0.0,0.0,0.0,0.0
327,0,0,0,,,0,20208,0,0,0,0,0.0,0,109,3,0.4,1.9,0,Charlie,0.0,0,0,0.0,328,False,0.0,0,0,0,0,0,,50,0,0,0,20208.jpg,0.0,0,0,Adam,0.1,False,16.0,a,14,110,0.0,0,62,62,386,386,0.0,0.0,Adam,0,0.0,0.0,0.0,0.0
328,0,1,18,,,0,12150,0,0,0,0,16.3,0,432,3,0.0,1.5,3,Glenn,3.0,1,0,3.8,329,False,21.4,0,0,0,0,90,,45,0,0,0,12150.jpg,3.0,0,0,Whelan,1.1,False,6.0,a,14,110,0.0,3,683,683,1034,1034,0.7,0.7,Whelan,0,0.3622222222222222,0.4755555555555555,0.0,0.8377777777777777
329,0,0,1,,,0,12813,0,0,0,0,0.3,0,312,3,1.1,2.6,1,Jonathan,1.0,0,0,0.2,330,False,0.0,0,0,0,0,22,,60,0,0,0,12813.jpg,1.0,0,0,Walters,0.3,False,19.0,a,14,110,2.0,1,36,36,440,440,0.2,0.2,Walters,0,0.005,0.0,0.03333333333333333,0.03833333333333333
330,0,0,4,75.0,75.0,0,41464,0,0,0,0,23.2,0,528,3,1.3,2.4,1,Marko,1.0,1,0,6.1,331,False,2.0,0,0,0,0,90,,75,0,0,0,41464.jpg,1.0,0,0,Arnautovic,2.1,False,10.0,a,14,110,36.0,1,750,750,4212,4212,0.1,0.1,Arnautovic,1,0.30933333333333335,0.02666666666666667,0.48,0.816
331,0,0,0,0.0,0.0,0,19568,0,0,0,0,0.0,0,270,3,0.0,0.0,0,Ibrahim,0.0,0,0,0.0,332,False,0.0,0,0,0,0,0,Knee injury - Expected back 14 Jan,55,0,0,0,19568.jpg,0.0,0,0,Afellay,0.0,False,14.0,i,14,110,0.0,0,8,8,76,76,0.0,0.0,Afellay,0,0.0,0.0,0.0,0.0
332,0,2,22,,,0,68312,0,0,0,0,18.7,0,302,3,1.3,2.8,9,Xherdan,9.0,1,1,8.1,333,False,36.2,0,0,0,0,90,,65,0,0,0,68312.jpg,9.0,0,0,Shaqiri,10.3,False,22.0,a,14,110,26.0,9,29651,29651,6037,6037,1.4,1.4,Shaqiri,0,0.2876923076923077,0.556923076923077,0.4,1.2446153846153847
333,0,1,18,,,0,102738,0,0,0,0,16.8,0,194,3,0.4,1.9,3,Giannelli,3.0,1,0,3.2,334,False,13.4,0,0,0,0,90,,50,0,0,0,102738.jpg,3.0,0,0,Imbula,0.4,False,21.0,a,14,110,2.0,3,577,577,497,497,0.6,0.6,Imbula,0,0.336,0.268,0.04,0.644
334,0,0,10,,,0,40276,0,0,0,0,8.0,0,360,3,1.1,2.6,2,Bojan,2.0,1,0,1.4,335,False,1.4,0,0,0,0,77,,60,0,0,0,40276.jpg,2.0,0,0,Krkic,2.4,False,27.0,a,14,110,5.0,2,844,844,3988,3988,0.3,0.3,Bojan,0,0.13333333333333333,0.02333333333333333,0.08333333333333333,0.24
335,0,0,0,,,0,3773,0,0,0,0,0.0,0,47,4,0.3,1.8,0,Peter,0.0,0,0,0.0,336,False,0.0,0,0,0,0,0,,50,0,0,0,3773.jpg,0.0,0,0,Crouch,0.9,False,25.0,a,14,110,0.0,0,628,628,2690,2690,0.0,0.0,Crouch,0,0.0,0.0,0.0,0.0
